Code,Department,Expenditure Class,FY20 Actual,FY21 Adopted Budget,FY21 Current Target,FY22 Estimate,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,class_900,0,0.0,0.0,25000000.0,35000000.0,40000000.0,50000000.0,50000000.0
55L,CIVIL SERVICE COMMISSION - PROVISIONS FOR FUTURE LABOR AGREEMENTS,total,0,0.0,0.0,25000000.0,35000000.0,40000000.0,50000000.0,50000000.0
42,COMMERCE,class_100,3453180,2394341.0,2499341.0,2714341.0,2714341.0,2714341.0,2714341.0,2714341.0
42,COMMERCE,class_200,6252079,1216153.0,808831.0,4657989.0,5057989.0,5057989.0,2061153.0,2061153.0
42,COMMERCE,class_300_400,21871,26654.0,26654.0,26654.0,26654.0,26654.0,26654.0,26654.0
42,COMMERCE,class_500,500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,COMMERCE,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,COMMERCE,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,COMMERCE,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,COMMERCE,total,10227130,3637148.0,3334826.0,7398984.0,7798984.0,7798984.0,4802148.0,4802148.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_200,15000000,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_300_400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_700,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_800,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_900,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,total,15000000,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0
42ES,COMMERCE - ECONOMIC STIMULUS,class_100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
