Code,Department,Expenditure Class,FY21 Actual,FY22 Adopted Budget,FY22 Current Target,FY23 Estimate,FY24 Estimate,FY25 Estimate,FY26 Estimate,FY27 Estimate
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_700,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_800,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,class_900,0,0.0,0.0,0,0,0,0,0
42CC,COMMERCE - CONVENTION CENTER SUBSIDY,total,15010679,15000000.0,15000000.0,15000000,15000000,15000000,15000000,15000000
42ES,COMMERCE - ECONOMIC STIMULUS,class_100,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,class_200,2957678,6015000.0,5834550.0,13334550,13334550,13334550,13334550,13334550
42ES,COMMERCE - ECONOMIC STIMULUS,class_300_400,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,class_500,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,class_700,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,class_800,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,class_900,0,0.0,0.0,0,0,0,0,0
42ES,COMMERCE - ECONOMIC STIMULUS,total,2957678,6015000.0,5834550.0,13334550,13334550,13334550,13334550,13334550
69,DISTRICT ATTORNEY,class_100,38421902,36562904.0,38812427.0,40467055,40681114,40681114,40681114,40681114
69,DISTRICT ATTORNEY,class_200,3079896,3343738.0,3343738.0,3343738,3343738,3343738,3343738,3343738
69,DISTRICT ATTORNEY,class_300_400,522416,525017.0,533417.0,533417,533417,533417,533417,533417
69,DISTRICT ATTORNEY,class_500,2719,0.0,0.0,0,0,0,0,0
69,DISTRICT ATTORNEY,class_700,0,0.0,0.0,0,0,0,0,0
69,DISTRICT ATTORNEY,class_800,0,0.0,0.0,0,0,0,0,0
69,DISTRICT ATTORNEY,class_900,0,0.0,0.0,0,0,0,0,0
69,DISTRICT ATTORNEY,total,42026933,40431659.0,42689582.0,44344210,44558269,44558269,44558269,44558269
35,FINANCE,class_100,9293924,10185891.0,10315325.0,10863735,11182896,11289014,11289014,11289014
35,FINANCE,class_200,2714841,3475113.0,3277642.0,4002420,4771544,5713629,6679686,7377011
35,FINANCE,class_300_400,24386,35616.0,45616.0,38616,35616,35616,35616,35616
